iter	Passed	Remaining
0	137	137051
1	138	69108
2	139	46371
3	140	35015
4	141	28160
5	142	23574
6	142	20277
7	143	17841
8	144	15922
9	145	14381
10	146	13151
11	147	12106
12	147	11214
13	148	10455
14	149	9790
15	149	9208
16	150	8692
17	150	8236
18	151	7830
19	152	7468
20	153	7134
21	153	6831
22	154	6555
23	154	6303
24	155	6068
25	156	5852
26	156	5654
27	157	5468
28	158	5294
29	158	5131
30	159	4981
31	159	4837
32	160	4702
33	161	4575
34	161	4455
35	162	4341
36	162	4236
37	163	4135
38	163	4040
39	164	3948
40	166	3894
41	167	3817
42	167	3738
43	168	3663
44	169	3592
45	169	3524
46	170	3459
47	171	3395
48	171	3337
49	172	3279
50	173	3223
51	173	3168
52	174	3114
53	174	3063
54	175	3014
55	176	2966
56	176	2921
57	177	2877
58	177	2834
59	178	2793
60	178	2752
61	179	2714
62	179	2676
63	180	2639
64	181	2604
65	181	2570
66	182	2537
67	182	2505
68	183	2473
69	183	2443
70	184	2413
71	184	2384
72	185	2356
73	186	2329
74	187	2317
75	188	2297
76	189	2273
77	190	2249
78	190	2226
79	191	2203
80	192	2180
81	192	2158
82	193	2133
83	193	2113
84	194	2094
85	195	2075
86	195	2055
87	196	2035
88	196	2015
89	197	1996
90	198	1977
91	198	1959
92	199	1941
93	199	1924
94	200	1906
95	200	1889
96	201	1872
97	201	1856
98	202	1840
99	202	1826
100	203	1810
101	203	1795
102	204	1781
103	205	1766
104	205	1752
105	206	1738
106	206	1724
107	207	1711
108	207	1697
109	208	1684
110	208	1671
111	209	1662
112	210	1651
113	211	1643
114	212	1632
115	212	1620
116	213	1608
117	213	1597
118	214	1586
119	214	1575
120	215	1564
121	215	1553
122	216	1543
123	217	1534
124	217	1524
125	218	1514
126	218	1503
127	219	1493
128	219	1484
129	220	1474
130	220	1465
131	221	1456
132	221	1446
133	222	1437
134	223	1429
135	223	1420
136	224	1412
137	224	1403
138	225	1395
139	225	1388
140	226	1380
141	226	1371
142	227	1363
143	228	1355
144	228	1347
145	229	1339
146	229	1332
147	230	1324
148	230	1317
149	231	1310
150	231	1303
151	232	1299
152	233	1294
153	234	1288
154	235	1281
155	235	1275
156	236	1268
157	236	1262
158	237	1255
159	237	1249
160	238	1242
161	239	1236
162	239	1230
163	240	1224
164	240	1218
165	241	1212
166	241	1206
167	242	1200
168	242	1194
169	243	1188
170	243	1182
171	244	1177
172	245	1171
173	245	1165
174	246	1160
175	246	1154
176	247	1149
177	247	1144
178	248	1138
179	248	1133
180	249	1128
181	249	1122
182	250	1117
183	250	1112
184	251	1107
185	251	1102
186	252	1097
187	253	1092
188	253	1088
189	254	1084
190	255	1081
191	256	1078
192	257	1074
193	257	1070
194	258	1066
195	258	1062
196	259	1058
197	260	1053
198	260	1049
199	261	1045
200	262	1042
201	262	1038
202	263	1034
203	263	1030
204	264	1025
